ticket_id,created_date,category,priority,status,resolution_hours,agent,satisfaction_1to5
T5401,2023-08-15,Hardware,Medium,Resolved,25.9,Agent C,1.0
T5402,2023-08-11,Security,Critical,Resolved,2.3,Agent A,1.0
T5403,2023-09-19,Network,Critical,Resolved,2.1,Agent A,1.0
T5404,2023-12-02,Access,Critical,Resolved,0.9,Agent C,4.0
T5405,2023-07-03,Access,Medium,Resolved,23.8,Agent B,1.0
T5406,2024-02-12,Hardware,High,Resolved,15.0,Agent D,3.0
T5407,2023-08-11,Email,Low,Resolved,79.1,Agent A,2.0
T5408,2023-12-16,Network,Medium,Resolved,36.3,Agent D,3.0
T5409,2024-04-11,Access,Medium,Resolved,23.7,Agent A,5.0
T5410,2023-09-20,Access,Medium,Resolved,32.4,Agent C,5.0
T5411,2023-07-12,Software,High,Resolved,6.6,Agent C,1.0
T5412,2024-02-08,Email,Critical,Resolved,2.3,Agent C,5.0
T5413,2024-02-06,Email,Medium,Open,25.2,Agent B,
T5414,2024-06-25,Access,Low,Resolved,31.0,Agent B,3.0
T5415,2023-08-28,Hardware,Medium,Resolved,10.5,Agent C,4.0
T5416,2024-02-10,Security,High,Resolved,3.7,Agent E,1.0
T5417,2024-02-13,Security,Critical,Resolved,2.5,Agent C,2.0
T5418,2024-05-15,Security,Critical,Resolved,1.7,Agent E,5.0
T5419,2024-05-23,Network,Critical,Resolved,3.3,Agent C,5.0
T5420,2024-05-31,Network,High,Resolved,2.3,Agent D,5.0
T5421,2023-07-22,Email,Low,Open,69.1,Agent D,
T5422,2023-10-05,Access,High,Resolved,6.5,Agent A,5.0
T5423,2023-09-01,Hardware,Low,Resolved,75.0,Agent D,5.0
T5424,2024-03-26,Network,Medium,Resolved,40.1,Agent D,2.0
T5425,2024-01-26,Hardware,High,Resolved,5.2,Agent A,5.0
T5426,2024-05-22,Network,Medium,Resolved,29.5,Agent E,3.0
T5427,2023-07-13,Email,Low,Escalated,62.0,Agent B,
T5428,2023-10-08,Security,High,Resolved,10.5,Agent B,4.0
T5429,2024-06-04,Network,Low,Resolved,3.1,Agent D,4.0
T5430,2024-06-30,Security,Low,Resolved,46.5,Agent D,5.0
T5431,2024-04-11,Access,High,Resolved,9.1,Agent C,1.0
T5432,2023-10-03,Network,Medium,Open,32.7,Agent D,
T5433,2023-09-27,Hardware,High,Open,8.9,Agent B,
T5434,2024-04-14,Email,Low,Resolved,41.0,Agent E,4.0
T5435,2024-04-10,Software,High,Open,10.4,Agent E,
T5436,2024-03-15,Network,Critical,Resolved,1.4,Agent C,5.0
T5437,2024-06-12,Security,Medium,Resolved,18.2,Agent D,2.0
T5438,2024-02-10,Software,High,Open,3.0,Agent D,
T5439,2023-08-14,Hardware,High,Resolved,7.9,Agent C,4.0
T5440,2024-05-30,Access,Critical,Resolved,1.8,Agent B,3.0
T5441,2024-03-30,Email,Critical,Resolved,2.3,Agent D,4.0
T5442,2024-01-03,Security,Medium,Resolved,43.6,Agent C,2.0
T5443,2023-07-21,Hardware,Medium,Resolved,0.5,Agent E,5.0
T5444,2023-07-05,Access,Critical,Resolved,1.2,Agent C,1.0
T5445,2023-10-07,Access,High,Resolved,12.6,Agent D,4.0
T5446,2024-02-02,Email,High,Open,9.3,Agent A,
T5447,2024-06-19,Network,Critical,Resolved,2.4,Agent A,2.0
T5448,2023-10-04,Email,High,Resolved,2.5,Agent C,2.0
T5449,2024-03-07,Network,Medium,Open,12.6,Agent E,
T5450,2024-01-08,Hardware,Critical,Open,2.2,Agent A,
T5451,2023-10-28,Network,Medium,Resolved,36.7,Agent A,3.0
T5452,2024-04-12,Access,Critical,Open,2.9,Agent C,
T5453,2024-05-28,Access,Critical,Resolved,1.9,Agent C,1.0
T5454,2023-07-01,Network,Medium,Resolved,27.4,Agent B,3.0
T5455,2024-04-10,Email,Critical,Resolved,1.1,Agent C,1.0
T5456,2024-05-24,Software,Medium,Resolved,35.0,Agent A,2.0
T5457,2023-11-04,Access,Low,Resolved,30.6,Agent E,1.0
T5458,2023-11-10,Security,Medium,Resolved,33.2,Agent D,5.0
T5459,2024-05-08,Software,High,Resolved,10.2,Agent B,3.0
T5460,2023-12-14,Software,Medium,Resolved,33.3,Agent B,5.0
T5461,2023-07-08,Email,Low,Open,39.5,Agent A,
T5462,2023-08-08,Security,Critical,Open,2.1,Agent B,
T5463,2023-07-26,Security,Critical,Resolved,2.3,Agent C,1.0
T5464,2023-08-07,Security,Low,Resolved,40.4,Agent E,5.0
T5465,2023-12-16,Email,High,Resolved,4.2,Agent B,4.0
T5466,2024-04-18,Network,Low,Resolved,5.1,Agent E,5.0
T5467,2023-11-23,Hardware,High,Resolved,2.5,Agent E,3.0
T5468,2023-10-24,Hardware,Low,Open,22.8,Agent C,
T5469,2023-12-09,Software,Low,Resolved,25.3,Agent B,4.0
T5470,2023-07-20,Access,High,Resolved,10.1,Agent D,3.0
T5471,2024-02-16,Email,Low,Resolved,54.5,Agent D,3.0
T5472,2024-04-04,Hardware,Critical,Resolved,2.4,Agent C,4.0
T5473,2023-10-21,Network,Medium,Resolved,12.2,Agent B,2.0
T5474,2023-07-14,Network,Low,Resolved,23.4,Agent B,1.0
T5475,2024-04-11,Hardware,High,Resolved,10.5,Agent A,2.0
T5476,2023-11-10,Security,High,Resolved,3.4,Agent E,4.0
T5477,2023-11-27,Hardware,Critical,Resolved,3.1,Agent E,4.0
T5478,2024-03-13,Access,Medium,Resolved,30.9,Agent A,1.0
T5479,2023-09-22,Network,High,Resolved,9.0,Agent C,4.0
T5480,2024-03-30,Hardware,Critical,Resolved,2.9,Agent D,1.0
T5481,2024-06-28,Access,Critical,Resolved,1.0,Agent E,5.0
T5482,2024-03-16,Software,Low,Resolved,39.9,Agent C,3.0
T5483,2024-06-10,Software,Low,Resolved,50.5,Agent E,1.0
T5484,2023-12-15,Hardware,Critical,Resolved,1.7,Agent B,1.0
T5485,2024-03-16,Network,Medium,Resolved,30.2,Agent C,3.0
T5486,2023-09-07,Security,Low,Open,35.4,Agent E,
T5487,2024-05-16,Security,Low,Resolved,55.3,Agent B,4.0
T5488,2024-02-28,Access,Low,Open,54.1,Agent E,
T5489,2023-09-08,Network,High,Resolved,7.2,Agent E,2.0
T5490,2024-04-15,Security,High,Escalated,11.2,Agent C,
T5491,2023-09-19,Hardware,Low,Resolved,75.7,Agent C,5.0
T5492,2023-11-12,Access,Low,Resolved,44.6,Agent D,1.0
T5493,2024-05-24,Hardware,High,Resolved,6.9,Agent B,4.0
T5494,2024-01-23,Network,Critical,Resolved,2.9,Agent A,4.0
T5495,2023-08-25,Network,High,Resolved,7.9,Agent B,1.0
T5496,2023-08-05,Hardware,High,Resolved,7.5,Agent B,3.0
T5497,2024-02-16,Network,High,Resolved,11.1,Agent B,4.0
T5498,2024-01-13,Security,High,Escalated,9.2,Agent E,
T5499,2024-05-21,Access,Critical,Resolved,2.7,Agent D,2.0
T5500,2024-06-10,Software,Medium,Resolved,25.4,Agent B,2.0
T5501,2023-12-15,Security,Critical,Resolved,1.9,Agent A,4.0
T5502,2024-05-31,Access,Low,Resolved,37.5,Agent E,2.0
T5503,2023-07-25,Email,Low,Open,49.0,Agent C,
T5504,2023-08-20,Email,Critical,Resolved,2.5,Agent B,5.0
T5505,2023-10-29,Hardware,Medium,Resolved,32.3,Agent C,1.0
T5506,2023-09-15,Access,Low,Resolved,52.2,Agent B,4.0
T5507,2024-03-14,Software,Critical,Resolved,2.1,Agent E,1.0
T5508,2024-06-23,Security,Critical,Resolved,1.8,Agent E,5.0
T5509,2023-11-20,Security,Low,Open,58.8,Agent B,
T5510,2024-04-07,Access,Medium,Resolved,9.2,Agent D,4.0
T5511,2024-03-17,Security,Critical,Resolved,1.0,Agent A,1.0
T5512,2023-12-07,Access,Critical,Resolved,2.1,Agent B,2.0
T5513,2024-06-14,Software,Low,Resolved,66.8,Agent B,2.0
T5514,2023-12-25,Security,Low,Resolved,69.3,Agent B,4.0
T5515,2024-02-18,Hardware,Low,Resolved,38.2,Agent D,2.0
T5516,2024-02-04,Software,Medium,Resolved,30.7,Agent A,3.0
T5517,2023-08-17,Email,Critical,Resolved,2.8,Agent B,3.0
T5518,2024-05-25,Access,Low,Resolved,53.9,Agent A,5.0
T5519,2024-01-30,Security,Low,Resolved,72.3,Agent E,3.0
T5520,2023-11-18,Software,High,Resolved,4.3,Agent D,5.0
T5521,2024-01-18,Hardware,Low,Open,40.5,Agent E,
T5522,2024-05-29,Security,Low,Resolved,76.6,Agent E,2.0
T5523,2023-07-23,Email,Low,Resolved,36.8,Agent E,5.0
T5524,2023-12-24,Email,High,Resolved,6.2,Agent A,3.0
T5525,2023-12-23,Email,Medium,Resolved,14.9,Agent E,2.0
T5526,2023-07-06,Access,Medium,Resolved,29.2,Agent B,3.0
T5527,2023-09-28,Security,Critical,Escalated,1.8,Agent E,
T5528,2024-06-21,Hardware,High,Resolved,10.6,Agent A,5.0
T5529,2024-02-15,Security,Medium,Open,14.0,Agent A,
T5530,2023-10-11,Hardware,High,Resolved,11.0,Agent C,1.0
T5531,2023-09-24,Network,Medium,Resolved,9.2,Agent E,2.0
T5532,2024-02-27,Network,Medium,Resolved,12.8,Agent A,5.0
T5533,2024-05-03,Hardware,Low,Resolved,46.8,Agent E,2.0
T5534,2024-05-09,Software,Critical,Resolved,2.5,Agent D,5.0
T5535,2024-04-02,Email,Medium,Open,14.3,Agent A,
T5536,2024-02-24,Hardware,Low,Resolved,61.2,Agent A,3.0
T5537,2023-10-25,Security,Medium,Open,35.6,Agent D,
T5538,2024-02-18,Hardware,Medium,Resolved,9.2,Agent C,1.0
T5539,2023-07-08,Access,High,Resolved,0.9,Agent C,3.0
T5540,2024-03-20,Network,High,Resolved,6.2,Agent D,3.0
T5541,2023-07-01,Hardware,Medium,Resolved,22.6,Agent D,4.0
T5542,2024-03-01,Email,High,Resolved,5.8,Agent B,5.0
T5543,2024-04-13,Hardware,Critical,Resolved,2.5,Agent C,3.0
T5544,2023-11-12,Software,High,Open,8.1,Agent C,
T5545,2023-10-25,Hardware,Medium,Open,26.4,Agent A,
T5546,2024-06-04,Email,Medium,Resolved,19.9,Agent C,4.0
T5547,2024-01-13,Access,High,Resolved,7.6,Agent E,3.0
T5548,2024-06-11,Hardware,Critical,Resolved,1.2,Agent E,4.0
T5549,2024-04-28,Hardware,Medium,Open,24.4,Agent D,
T5550,2024-02-04,Email,Low,Resolved,28.3,Agent B,3.0
T5551,2023-09-17,Network,Low,Resolved,19.3,Agent D,4.0
T5552,2023-07-05,Security,Low,Escalated,68.8,Agent B,
T5553,2023-07-06,Email,Critical,Resolved,2.5,Agent B,3.0
T5554,2024-02-03,Security,High,Resolved,7.6,Agent B,2.0
T5555,2024-01-25,Network,High,Escalated,5.4,Agent A,
T5556,2024-04-10,Security,Medium,Resolved,19.2,Agent E,2.0
T5557,2023-10-20,Security,Medium,Resolved,24.6,Agent E,5.0
T5558,2024-04-01,Hardware,Critical,Resolved,2.0,Agent A,1.0
T5559,2023-12-02,Security,Low,Resolved,31.3,Agent A,1.0
T5560,2023-09-19,Network,Low,Resolved,32.7,Agent A,1.0
T5561,2023-07-22,Security,Critical,Resolved,2.7,Agent E,5.0
T5562,2024-03-28,Security,High,Open,6.7,Agent D,
T5563,2023-11-03,Software,Low,Resolved,54.0,Agent D,4.0
T5564,2024-02-25,Access,Medium,Resolved,41.2,Agent A,2.0
T5565,2024-04-10,Access,High,Resolved,4.5,Agent B,1.0
T5566,2023-08-17,Hardware,Critical,Open,3.4,Agent B,
T5567,2024-01-19,Hardware,Medium,Resolved,23.1,Agent C,4.0
T5568,2023-07-29,Network,Low,Open,31.0,Agent A,
T5569,2024-01-20,Hardware,Medium,Resolved,24.9,Agent E,5.0
T5570,2024-01-01,Network,High,Resolved,11.5,Agent B,5.0
T5571,2023-11-24,Access,Low,Open,83.2,Agent A,
T5572,2024-02-12,Access,High,Resolved,6.3,Agent E,2.0
T5573,2023-09-13,Email,Medium,Resolved,14.4,Agent C,5.0
T5574,2023-08-26,Hardware,High,Open,5.3,Agent B,
T5575,2024-04-18,Network,High,Resolved,3.8,Agent B,1.0
T5576,2023-09-01,Software,High,Resolved,5.1,Agent C,5.0
T5577,2023-09-17,Network,High,Resolved,6.4,Agent A,4.0
T5578,2023-12-21,Software,Medium,Resolved,24.1,Agent D,5.0
T5579,2024-04-26,Hardware,Medium,Resolved,32.4,Agent B,2.0
T5580,2024-01-05,Access,High,Resolved,8.6,Agent D,1.0
T5581,2024-01-09,Network,Low,Resolved,60.9,Agent D,5.0
T5582,2024-05-11,Network,Medium,Resolved,28.8,Agent D,2.0
T5583,2023-11-26,Access,Critical,Resolved,1.3,Agent D,4.0
T5584,2023-12-28,Email,Critical,Resolved,1.8,Agent A,3.0
T5585,2023-09-11,Access,Critical,Open,3.7,Agent B,
T5586,2024-06-15,Access,Critical,Resolved,2.8,Agent B,4.0
T5587,2023-08-16,Hardware,High,Resolved,4.8,Agent D,1.0
T5588,2023-12-30,Software,High,Resolved,10.5,Agent A,2.0
T5589,2024-03-16,Email,Medium,Resolved,26.2,Agent B,3.0
T5590,2024-01-08,Email,Critical,Resolved,1.3,Agent D,3.0
T5591,2023-09-20,Email,Low,Resolved,96.6,Agent B,1.0
T5592,2023-09-02,Email,High,Resolved,11.5,Agent A,3.0
T5593,2024-06-12,Access,High,Resolved,4.8,Agent D,4.0
T5594,2024-03-08,Security,Medium,Resolved,10.2,Agent D,4.0
T5595,2024-01-17,Security,High,Resolved,8.2,Agent C,1.0
T5596,2024-02-23,Security,High,Resolved,6.2,Agent D,5.0
T5597,2023-10-16,Access,High,Resolved,5.8,Agent A,5.0
T5598,2023-08-24,Security,Low,Resolved,53.3,Agent A,4.0
T5599,2024-06-04,Email,Medium,Resolved,27.2,Agent E,2.0
T5600,2023-10-19,Software,High,Resolved,11.6,Agent C,1.0
T5601,2023-10-14,Security,Low,Open,54.3,Agent C,
T5602,2023-10-02,Security,Medium,Resolved,24.4,Agent A,3.0
T5603,2024-02-18,Email,Critical,Open,3.1,Agent A,
T5604,2023-10-17,Access,Medium,Open,29.8,Agent C,
T5605,2023-11-07,Access,Medium,Open,34.2,Agent C,
T5606,2023-11-22,Security,High,Resolved,11.1,Agent A,1.0
T5607,2024-04-09,Access,Low,Resolved,56.1,Agent A,5.0
T5608,2023-11-30,Network,Critical,Resolved,1.7,Agent D,1.0
T5609,2023-12-26,Network,Critical,Resolved,2.1,Agent B,2.0
T5610,2023-07-19,Email,Medium,Resolved,26.2,Agent D,1.0
T5611,2024-06-16,Software,High,Escalated,0.5,Agent D,
T5612,2023-10-02,Network,Medium,Escalated,30.9,Agent C,
T5613,2023-08-07,Hardware,Critical,Resolved,1.5,Agent D,4.0
T5614,2024-06-19,Security,Low,Resolved,23.4,Agent B,4.0
T5615,2023-10-28,Software,Low,Resolved,52.3,Agent C,3.0
T5616,2024-05-03,Email,Critical,Resolved,1.0,Agent E,2.0
T5617,2024-02-20,Security,Critical,Resolved,2.1,Agent B,4.0
T5618,2023-08-07,Email,Low,Resolved,75.7,Agent D,4.0
T5619,2023-10-08,Software,Medium,Escalated,19.7,Agent B,
T5620,2024-06-16,Email,High,Open,12.4,Agent A,
T5621,2023-07-28,Software,Medium,Resolved,18.1,Agent A,4.0
T5622,2024-03-17,Email,Critical,Resolved,1.4,Agent C,3.0
T5623,2024-01-15,Email,Medium,Open,7.1,Agent C,
T5624,2023-08-22,Security,Critical,Resolved,0.8,Agent D,5.0
T5625,2024-01-03,Hardware,Low,Open,31.6,Agent A,
T5626,2023-08-28,Network,Medium,Open,20.0,Agent D,
T5627,2024-02-16,Hardware,Critical,Open,2.6,Agent E,
T5628,2023-11-01,Email,Low,Resolved,18.5,Agent D,5.0
T5629,2024-06-15,Security,High,Open,4.8,Agent E,
T5630,2024-06-24,Software,Critical,Resolved,2.9,Agent C,5.0
T5631,2024-06-30,Email,Critical,Resolved,1.9,Agent C,1.0
T5632,2023-11-15,Security,Medium,Resolved,14.7,Agent E,2.0
T5633,2023-12-13,Network,Low,Resolved,22.9,Agent A,3.0
T5634,2023-11-01,Email,Critical,Resolved,1.7,Agent C,4.0
T5635,2024-03-10,Hardware,Critical,Resolved,0.9,Agent B,3.0
T5636,2023-10-31,Access,High,Resolved,8.7,Agent B,4.0
T5637,2024-02-11,Access,Low,Escalated,16.3,Agent B,
T5638,2023-09-23,Email,Critical,Resolved,3.2,Agent B,4.0
T5639,2024-01-08,Security,Medium,Resolved,20.0,Agent C,2.0
T5640,2024-01-04,Access,Critical,Resolved,1.6,Agent B,2.0
T5641,2023-07-25,Software,Medium,Open,27.9,Agent A,
T5642,2023-10-28,Hardware,Medium,Open,44.6,Agent E,
T5643,2024-01-11,Access,Low,Resolved,33.7,Agent D,3.0
T5644,2024-06-18,Network,High,Resolved,9.6,Agent D,2.0
T5645,2023-07-26,Network,Medium,Resolved,17.3,Agent A,3.0
T5646,2024-04-25,Security,Medium,Resolved,34.4,Agent A,1.0
T5647,2023-11-30,Security,High,Open,11.6,Agent B,
T5648,2023-07-19,Security,Medium,Resolved,23.1,Agent B,1.0
T5649,2023-12-20,Network,High,Resolved,10.4,Agent B,5.0
T5650,2023-11-06,Hardware,Critical,Open,3.2,Agent E,
T5651,2023-12-14,Hardware,Medium,Open,24.6,Agent E,
T5652,2024-01-30,Email,Critical,Resolved,3.0,Agent C,1.0
T5653,2023-07-31,Hardware,Low,Resolved,37.8,Agent B,4.0
T5654,2024-02-01,Hardware,Medium,Resolved,33.4,Agent B,3.0
T5655,2023-12-20,Software,High,Open,5.8,Agent B,
T5656,2023-12-20,Hardware,Low,Resolved,53.6,Agent A,5.0
T5657,2023-12-20,Software,Medium,Resolved,15.4,Agent A,5.0
T5658,2024-03-31,Email,High,Resolved,4.4,Agent D,4.0
T5659,2023-07-29,Security,Critical,Open,2.1,Agent C,
T5660,2024-06-27,Hardware,Low,Resolved,40.2,Agent C,1.0
T5661,2024-02-14,Hardware,Low,Resolved,31.7,Agent C,1.0
T5662,2024-06-12,Software,High,Resolved,9.1,Agent D,4.0
T5663,2024-05-21,Software,Medium,Resolved,24.0,Agent E,5.0
T5664,2023-10-28,Hardware,Medium,Open,22.8,Agent D,
T5665,2023-08-01,Access,High,Resolved,4.0,Agent B,2.0
T5666,2023-12-10,Network,Low,Resolved,53.7,Agent A,4.0
T5667,2023-07-01,Hardware,Medium,Resolved,36.6,Agent D,1.0
T5668,2024-03-21,Access,Medium,Resolved,0.5,Agent D,2.0
T5669,2023-08-13,Email,Critical,Resolved,3.4,Agent B,2.0
T5670,2023-08-08,Email,Medium,Resolved,45.3,Agent D,4.0
T5671,2023-08-17,Software,High,Resolved,11.4,Agent E,5.0
T5672,2024-01-23,Email,High,Resolved,8.4,Agent A,3.0
T5673,2024-02-24,Software,Low,Resolved,48.0,Agent C,1.0
T5674,2023-07-20,Software,Critical,Resolved,2.4,Agent B,3.0
T5675,2023-11-15,Software,High,Escalated,5.8,Agent C,
T5676,2023-07-15,Software,Medium,Resolved,18.3,Agent D,4.0
T5677,2024-04-23,Network,High,Resolved,3.7,Agent E,1.0
T5678,2023-09-27,Security,High,Resolved,9.4,Agent E,3.0
T5679,2023-08-24,Network,Low,Resolved,30.6,Agent C,5.0
T5680,2023-10-21,Email,Medium,Resolved,31.6,Agent B,4.0
T5681,2023-11-20,Access,Low,Resolved,66.6,Agent A,3.0
T5682,2024-03-06,Email,High,Resolved,7.6,Agent D,1.0
T5683,2023-08-15,Email,High,Resolved,10.0,Agent A,3.0
T5684,2024-01-14,Security,Low,Resolved,41.7,Agent D,2.0
T5685,2023-10-20,Access,Low,Resolved,31.5,Agent E,1.0
T5686,2024-06-16,Software,Critical,Resolved,2.1,Agent D,3.0
T5687,2023-07-29,Security,Critical,Resolved,2.2,Agent C,3.0
T5688,2023-10-09,Email,Critical,Resolved,1.8,Agent C,3.0
T5689,2024-06-08,Email,Low,Resolved,39.9,Agent D,5.0
T5690,2024-03-27,Hardware,High,Resolved,6.1,Agent E,4.0
T5691,2024-06-26,Software,Low,Resolved,72.3,Agent E,4.0
T5692,2024-06-26,Hardware,High,Resolved,7.2,Agent C,3.0
T5693,2023-12-03,Access,Low,Resolved,15.7,Agent A,5.0
T5694,2023-07-15,Security,Low,Resolved,40.9,Agent B,3.0
T5695,2023-08-31,Email,Low,Resolved,77.8,Agent C,4.0
T5696,2023-11-07,Software,Critical,Resolved,1.0,Agent B,2.0
T5697,2024-04-21,Access,Critical,Resolved,1.7,Agent C,4.0
T5698,2023-11-04,Hardware,Medium,Resolved,29.3,Agent E,2.0
T5699,2024-05-18,Hardware,Low,Resolved,53.8,Agent D,2.0
T5700,2023-07-20,Access,Medium,Escalated,21.6,Agent E,
T5701,2024-01-23,Network,Critical,Resolved,3.1,Agent B,2.0
T5702,2023-09-14,Security,Medium,Resolved,24.8,Agent D,2.0
T5703,2024-01-03,Hardware,High,Resolved,6.2,Agent A,4.0
T5704,2023-10-20,Network,Critical,Resolved,1.0,Agent B,4.0
T5705,2024-06-15,Email,High,Resolved,7.0,Agent C,1.0
T5706,2024-05-25,Security,Medium,Resolved,7.0,Agent A,4.0
T5707,2024-04-07,Hardware,Medium,Resolved,35.5,Agent A,3.0
T5708,2023-08-27,Network,Low,Open,42.6,Agent C,
T5709,2023-08-30,Software,High,Resolved,7.5,Agent C,2.0
T5710,2024-04-20,Network,High,Resolved,7.6,Agent C,4.0
T5711,2023-12-05,Access,Critical,Resolved,0.5,Agent B,5.0
T5712,2024-02-25,Hardware,Critical,Resolved,2.3,Agent E,3.0
T5713,2024-04-29,Software,Low,Escalated,45.1,Agent B,
T5714,2023-08-22,Software,High,Resolved,6.8,Agent C,4.0
T5715,2024-04-16,Access,Critical,Open,3.1,Agent B,
T5716,2023-09-17,Software,High,Resolved,11.4,Agent A,3.0
T5717,2023-10-04,Network,Medium,Open,27.5,Agent B,
T5718,2023-10-31,Security,Low,Resolved,29.5,Agent E,2.0
T5719,2024-04-05,Access,High,Resolved,12.4,Agent D,2.0
T5720,2024-06-30,Security,Medium,Resolved,29.1,Agent C,1.0
T5721,2023-08-06,Software,Low,Resolved,91.7,Agent C,3.0
T5722,2024-03-09,Hardware,Low,Resolved,44.5,Agent A,4.0
T5723,2024-03-22,Email,Low,Resolved,81.3,Agent A,2.0
T5724,2024-01-03,Software,Critical,Resolved,3.2,Agent C,5.0
T5725,2023-12-07,Access,Critical,Resolved,1.6,Agent E,1.0
T5726,2023-08-10,Access,High,Open,8.1,Agent C,
T5727,2024-03-13,Security,High,Resolved,10.4,Agent A,3.0
T5728,2024-01-01,Email,Low,Resolved,34.8,Agent D,3.0
T5729,2024-05-07,Hardware,Medium,Resolved,16.5,Agent C,3.0
T5730,2023-07-09,Email,High,Open,7.0,Agent A,
T5731,2023-07-03,Security,Low,Resolved,28.5,Agent E,3.0
T5732,2024-01-30,Access,Low,Resolved,50.0,Agent D,1.0
T5733,2023-09-13,Hardware,Medium,Resolved,25.8,Agent E,4.0
T5734,2023-09-02,Security,High,Resolved,11.2,Agent E,3.0
T5735,2023-12-14,Hardware,Medium,Resolved,9.3,Agent D,5.0
T5736,2024-04-24,Software,Critical,Resolved,2.4,Agent A,3.0
T5737,2023-08-23,Access,Medium,Resolved,28.3,Agent C,3.0
T5738,2024-04-09,Email,Medium,Resolved,22.5,Agent E,2.0
T5739,2024-03-12,Hardware,Medium,Resolved,39.9,Agent D,1.0
T5740,2023-12-04,Email,Medium,Resolved,25.3,Agent E,4.0
T5741,2024-02-10,Hardware,High,Resolved,7.1,Agent A,5.0
T5742,2024-01-14,Software,Low,Open,42.7,Agent B,
T5743,2023-09-04,Email,Critical,Open,2.7,Agent E,
T5744,2024-04-01,Software,Medium,Resolved,33.5,Agent D,1.0
T5745,2024-01-23,Hardware,Critical,Resolved,1.2,Agent C,1.0
T5746,2023-11-01,Email,High,Resolved,10.4,Agent B,1.0
T5747,2024-06-10,Email,Critical,Resolved,3.5,Agent A,1.0
T5748,2024-04-15,Network,Medium,Resolved,24.2,Agent B,5.0
T5749,2024-06-24,Email,High,Resolved,6.8,Agent B,2.0
T5750,2023-08-10,Software,Medium,Open,44.5,Agent B,
T5751,2024-06-15,Email,Low,Resolved,28.2,Agent E,1.0
T5752,2024-03-08,Security,Medium,Resolved,0.5,Agent D,2.0
T5753,2023-07-14,Email,Low,Resolved,85.5,Agent A,5.0
T5754,2023-09-17,Access,Low,Open,68.5,Agent E,
T5755,2024-06-10,Security,Critical,Resolved,2.6,Agent D,3.0
T5756,2023-09-11,Software,Medium,Escalated,18.7,Agent C,
T5757,2023-12-24,Access,Medium,Escalated,22.6,Agent B,
T5758,2023-10-07,Software,Critical,Resolved,2.6,Agent D,2.0
T5759,2023-07-02,Network,High,Resolved,11.6,Agent B,3.0
T5760,2024-03-08,Access,Low,Resolved,44.5,Agent E,3.0
T5761,2024-04-10,Network,Low,Resolved,54.6,Agent B,4.0
T5762,2023-08-27,Access,Critical,Open,4.6,Agent E,
T5763,2024-02-22,Access,Critical,Escalated,0.8,Agent D,
T5764,2024-02-17,Email,Medium,Resolved,31.0,Agent E,5.0
T5765,2024-05-11,Software,Medium,Resolved,14.4,Agent C,5.0
T5766,2023-08-25,Security,Critical,Escalated,1.3,Agent D,
T5767,2023-08-07,Hardware,High,Resolved,8.8,Agent C,1.0
T5768,2024-05-04,Network,Critical,Resolved,1.7,Agent D,1.0
T5769,2024-04-15,Email,Low,Resolved,22.6,Agent D,4.0
T5770,2023-09-18,Network,Critical,Escalated,1.3,Agent E,
T5771,2023-08-07,Network,Medium,Resolved,36.9,Agent A,1.0
T5772,2024-01-01,Security,Medium,Resolved,19.5,Agent D,2.0
T5773,2023-09-06,Network,Medium,Resolved,29.0,Agent B,5.0
T5774,2023-09-05,Email,Critical,Resolved,1.7,Agent C,2.0
T5775,2023-09-05,Hardware,Medium,Open,11.3,Agent A,
T5776,2023-09-27,Email,High,Resolved,5.9,Agent D,5.0
T5777,2024-06-29,Access,High,Resolved,4.1,Agent A,1.0
T5778,2023-10-17,Network,High,Resolved,12.4,Agent D,3.0
T5779,2023-11-20,Hardware,High,Resolved,6.8,Agent E,3.0
T5780,2024-01-24,Email,High,Resolved,4.7,Agent D,1.0
T5781,2023-12-22,Hardware,High,Resolved,10.9,Agent E,5.0
T5782,2024-04-06,Hardware,High,Open,10.6,Agent C,
T5783,2023-11-10,Access,Medium,Open,41.3,Agent D,
T5784,2024-06-08,Hardware,Low,Resolved,68.1,Agent A,4.0
T5785,2023-10-17,Security,Medium,Resolved,17.6,Agent B,1.0
T5786,2023-10-19,Software,Low,Resolved,39.2,Agent A,2.0
T5787,2024-04-06,Security,Low,Escalated,65.6,Agent E,
T5788,2024-02-23,Email,Low,Resolved,53.7,Agent B,5.0
T5789,2023-07-27,Access,Medium,Resolved,27.1,Agent D,2.0
T5790,2023-12-16,Security,Critical,Resolved,1.0,Agent B,1.0
T5791,2023-09-06,Email,Medium,Escalated,31.5,Agent A,
T5792,2024-01-31,Hardware,Low,Resolved,53.7,Agent A,3.0
T5793,2023-11-16,Hardware,High,Resolved,8.8,Agent B,4.0
T5794,2023-11-10,Hardware,Critical,Resolved,1.7,Agent B,2.0
T5795,2024-03-28,Software,High,Resolved,7.3,Agent B,2.0
T5796,2024-03-27,Network,Low,Escalated,53.3,Agent D,
T5797,2023-08-28,Network,Critical,Resolved,0.5,Agent D,1.0
T5798,2024-05-20,Software,Critical,Escalated,2.9,Agent B,
T5799,2024-06-05,Software,Medium,Open,29.3,Agent C,
T5800,2024-01-23,Security,Low,Resolved,48.5,Agent E,2.0
T5801,2024-03-24,Security,Low,Resolved,58.7,Agent E,2.0
T5802,2023-07-24,Email,Low,Resolved,31.5,Agent A,2.0
